_id,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
338,13026,93.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,20.00,,46.00,27.00,4.00,1013,53.00,93.00,2.00,23.00,3.00,2021-02-14T18:00:00,+07:00,Moderate,2
339,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",6.00,,82.00,1.00,24.00,1015,-,-,6.00,21.00,0.50,2021-02-14T20:00:00,+07:00,No data,0
340,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",6.00,,73.00,12.00,26.00,1016,-,-,4.00,22.00,6.10,2021-02-14T21:00:00,+07:00,No data,0
341,13017,79.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,8.00,,46.00,12.00,-,1013,57.00,79.00,-,23.00,3.00,2021-02-14T18:00:00,+07:00,Moderate,2
342,13020,50.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,5.00,,46.00,6.00,-,1013,30.00,50.00,-,23.00,3.00,2021-02-14T18:00:00,+07:00,Good,1
343,13013,94.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,6.00,,46.00,16.00,-,1013,63.00,94.00,-,23.00,3.00,2021-02-14T18:00:00,+07:00,Moderate,2
344,13014,48.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5.00,,46.00,-,-,1013,37.00,48.00,-,23.00,3.00,2021-02-14T18:00:00,+07:00,Good,1
345,13252,139.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,,73.50,-,3.00,984.80,124.00,139.00,-,20.50,3.00,2021-02-14T21:00:00,+07:00,Unhealthy for sensitive groups,3
346,8767,74.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,21.00,62.00,-,-,1010,-,74.00,-,29.00,3.00,2021-02-15T14:00:00,+07:00,Moderate,2
347,8688,132.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,18.00,78.00,-,-,1013,-,-,-,22.00,3.00,2021-02-15T14:00:00,+07:00,Unhealthy for sensitive groups,3
348,8641,144.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,18.00,78.00,14.20,3.30,1013,-,144.00,4.60,22.00,3.00,2021-02-15T14:00:00,+07:00,Unhealthy for sensitive groups,3
349,13012,21.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,15.70,57.00,7.00,32.00,924.70,15.00,21.00,1.00,24.80,2.00,2021-02-11T16:00:00,+07:00,Good,1
350,12488,42.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,1.00,18.00,65.00,-,-,1014,42.00,28.00,-,25.00,5.10,2021-02-15T14:00:00,+07:00,Good,1
351,13251,105.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,7.00,19.00,88.00,26.00,1.00,1014.5,73.00,105.00,2.00,21.00,2.30,2021-02-15T12:00:00,+07:00,Unhealthy for sensitive groups,3
352,12976,47.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,18.00,78.00,4.00,24.00,1013,28.00,47.00,2.00,22.00,3.00,2021-02-15T14:00:00,+07:00,Good,1
353,13250,148.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,41.00,17.00,63.80,3.00,2.00,1001.299999999999954525264911353588104248046875,52.00,148.00,59.00,24.30,3.00,2021-02-15T14:00:00,+07:00,Unhealthy for sensitive groups,3
354,5507,23.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,19.60,78.80,-,48.00,1000.799999999999954525264911353588104248046875,12.00,23.00,-,23.50,1.00,2021-02-15T13:00:00,+07:00,Good,1
355,11778,6.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,19.60,78.80,3.00,-,1000.799999999999954525264911353588104248046875,4.00,6.00,9.00,23.50,1.00,2021-02-15T13:00:00,+07:00,Good,1
356,12958,57.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,2.00,18.00,78.00,2.00,32.00,1013,34.00,57.00,3.00,22.00,3.00,2021-02-15T14:00:00,+07:00,Moderate,2
357,12957,-,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,"",4.00,18.00,78.00,1.00,-,1013.5,-,-,1.00,22.00,2.50,2021-02-15T14:00:00,+07:00,No data,0
358,13015,131.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,27.00,19.00,88.00,30.00,-,1014.5,93.00,131.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Unhealthy for sensitive groups,3
359,13018,87.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,4.00,18.00,78.00,8.00,-,1014,54.00,87.00,-,22.00,2.50,2021-02-15T12:00:00,+07:00,Moderate,2
360,13019,98.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,4.00,19.00,88.00,26.00,-,1014.5,64.00,98.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Moderate,2
361,13026,96.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,5.00,19.00,88.00,29.00,3.00,1014.5,60.00,96.00,1.00,21.00,2.30,2021-02-15T12:00:00,+07:00,Moderate,2
362,1584,-,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,"",2.00,17.50,63.00,1.00,36.00,1012.5,-,-,6.00,25.00,4.80,2021-02-15T14:00:00,+07:00,No data,0
363,1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,"",2.00,17.00,57.00,1.00,39.00,1013.5,-,-,4.00,26.00,7.70,2021-02-15T14:00:00,+07:00,No data,0
